School,UG/PG,Level,Unit Code,Sched unit ID,Moodle Unit Name,Block,Day,Time,Group,Unit Name,"Unit Name - Group Group, Block","Unit Name - Group Group, Block UG/PG Campus",Moodle Group Name,"MOODLE UPDATED? 
(BEAU)",Number of Sessions,,Unit Coordinator,Lecturer in Rapla,Room type,Room,"Open/
Closed",Campus,Reverse Hybrid (F2F/Online) or OSP,Comments - Academic Administration,Comments - PD,Forecast Numbers,Current Enrolments
ISY,PG,4,MBIS4006,15859,2026SS-MBIS4006,SS,Tue/Thu,8:30AM -  12:30PM,1,Information Systems Security,"Information Systems Security - Group 1, SS","Information Systems Security - Group 1, SS PG SYD",Group 1: Tue/Thu 8:30AM -  12:30PM SYD,,8,Dr Mohammed Al-Zobbi,Dr Mohammed Al-Zobbi,Dr Mohammed Al-Zobbi,Class,"Level 3, Classroom 1",Closed,SYD,NO,Class closed - 15.01.2026,,,
ISY,PG,4,MBIS4006,15860,2026SS-MBIS4006,SS,Tue/Thu,8:30AM -  12:30PM,1,Information Systems Security,"Information Systems Security - Group 1, SS","Information Systems Security - Group 1, SS PG MEL",Group 1: Tue/Thu 8:30AM -  12:30PM MEL,,8,Dr Rabeya Basri,Dr Mohammed Al-Zobbi,Dr Rabeya Basri,Class,Room 7,Closed,MEL,NO,Class closed - 15.01.2026,,,
BUS,UG,2,BBMG2007,15861,2026SS-BBMG2007,SS,Mon/Wed,8:30AM -  12:30PM,1,International Business Environment,"International Business Environment - Group 1, SS","International Business Environment - Group 1, SS UG SYD/MEL",Group 1: Mon/Wed 8:30AM -  12:30PM SYD/MEL,,8,,,,Online ,Online 1,Closed,SYD/MEL,NO,,,,
BUS,UG,3,BBMG3007,15862,2026SS-BBMG3007,SS,Mon/Wed,8:30AM -  12:30PM,1,International Marketing Management,"International Marketing Management - Group 1, SS","International Marketing Management - Group 1, SS UG MEL",Group 1: Mon/Wed 8:30AM -  12:30PM MEL,,8,,,,Class,Room 4,Closed,MEL,YES,,,,
BUS,UG,3,BBMG3007,15863,2026SS-BBMG3007,SS,Mon,1:00PM -  2:00PM,1,International Marketing Management,"International Marketing Management - Group 1, SS","International Marketing Management - Group 1, SS UG SYD",Group 1: Mon 1:00PM -  2:00PM SYD,,4,Ms Souraya Meraachly,Ms Souraya Meraachly,Ms Souraya Meraachly,Online,Online 1,Open,SYD,NO,Updated to self-directed for 3 students - 15.01.2026,,,
ISY,PG,5,MBIS5023,15864,2026SS-MBIS5023,SS,Tue/Thu,1:00PM -  5:00PM,1,Machine Learning for Data AnalyticsÊ,"Machine Learning for Data AnalyticsÊ - Group 1, SS","Machine Learning for Data AnalyticsÊ - Group 1, SS PG SYD",Group 1: Tue/Thu 1:00PM -  5:00PM SYD,,8,Dr Guohua Liang,Dr Adil Bilal,Dr Guohua Liang,Class,"Level 3, Classroom 5",Closed,SYD,NO,Updated to Hybrid class - 26.11.2025,No students enrolled - class closed 16.01.2026,,
ISY,PG,5,MBIS5023,15865,2026SS-MBIS5023,SS,Tue/Thu,1:00PM -  5:00PM,1,Machine Learning for Data AnalyticsÊ,"Machine Learning for Data AnalyticsÊ - Group 1, SS","Machine Learning for Data AnalyticsÊ - Group 1, SS PG MEL",Group 1: Tue/Thu 1:00PM -  5:00PM MEL,,8,Dr Adil Bilal,Dr Adil Bilal,Dr Adil Bilal,Class,Room 6-7,Closed,MEL,NO,Updated to Hybrid class - 26.11.2025,No students enrolled - class closed 16.01.2026,,
BUS,PG,5,MPM5002,16558,2026SS-MPM5002,SS,Thu,10:00AM -  11:00AM,1,Project Finance Management,"Project Finance Management - Group 1, SS","Project Finance Management - Group 1, SS PG SYD",Group 1: Thu 10:00AM -  11:00AM SYD,,4,Mr Son Nguyen,Mr Son Nguyen,Mr Son Nguyen,Online ,Online 1,Open,SYD,NO,Self-directed for 2 students - 16.01.2026,,,
BUS,PG,5,MPM5004,15866,2026SS-MPM5004,SS,Tue,9:00AM -  10:00PM,1,Major Corporate Study Project Execution,"Major Corporate Study Project Execution - Group 1, SS","Major Corporate Study Project Execution - Group 1, SS PG SYD/MEL",Group 1: Tue 9:00AM -  10:00PM SYD/MEL,,4,Dr Carolyn Tran,Dr Carolyn Tran,Dr Carolyn Tran,Online ,Online 1,Open,SYD/MEL,NO,Updated to self-directed for 234137 - 15.01.2026,,,
BUS,PG,5,MPM5004,15867,2026SS-MPM5004,SS,Tue/Thu,8:30AM -  12:30PM,1,Major Corporate Study Project Execution,"Major Corporate Study Project Execution - Group 1, SS","Major Corporate Study Project Execution - Group 1, SS PG MEL",Group 1: Tue/Thu 8:30AM -  12:30PM MEL,,8,,,,Class,Online 1,Closed,MEL,YES,,,,
